sample,x0,y0,n_hep,n_cd4,n_interact,frac
56784_c,14045.9170014954,-8762.21958007812,107,53,12,0.226415094339623
56784_c,14045.9170014954,-8712.21958007813,74,53,12,0.226415094339623
56784_c,14095.9170014954,-8812.21958007813,125,48,14,0.291666666666667
56784_c,14095.9170014954,-8762.21958007812,93,61,13,0.213114754098361
56784_c,14145.9170014954,-8812.21958007813,118,58,12,0.206896551724138
56784_c,14145.9170014954,-8762.21958007812,80,69,12,0.173913043478261
56784_c,14195.9170014954,-8812.21958007813,111,54,9,0.166666666666667
56784_c,14195.9170014954,-8762.21958007812,84,61,9,0.147540983606557
56784_c,14245.9170014954,-8812.21958007813,141,42,8,0.19047619047619
56784_c,14245.9170014954,-8762.21958007812,111,45,7,0.155555555555556
56784_c,14245.9170014954,-8712.21958007813,73,44,5,0.113636363636364
56784_c,14295.9170014954,-8812.21958007813,173,35,10,0.285714285714286
56784_c,14295.9170014954,-8762.21958007812,132,44,9,0.204545454545455
56784_c,14295.9170014954,-8712.21958007813,87,44,7,0.159090909090909
56784_c,14345.9170014954,-8812.21958007813,201,35,8,0.228571428571429
56784_c,14345.9170014954,-8762.21958007812,156,48,8,0.166666666666667
56784_c,14345.9170014954,-8712.21958007813,103,54,7,0.12962962962963
56784_c,14345.9170014954,-8662.21958007813,61,54,7,0.12962962962963
56784_c,14395.9170014954,-8762.21958007812,169,41,8,0.195121951219512
56784_c,14395.9170014954,-8712.21958007813,114,47,7,0.148936170212766
56784_c,14395.9170014954,-8662.21958007813,76,48,7,0.145833333333333
56784_c,14395.9170014954,-8612.21958007813,65,43,6,0.13953488372093
56784_c,14445.9170014954,-8762.21958007812,189,37,7,0.189189189189189
56784_c,14445.9170014954,-8712.21958007813,132,43,6,0.13953488372093
56784_c,14445.9170014954,-8662.21958007813,100,44,6,0.136363636363636
56784_c,14445.9170014954,-8612.21958007813,92,44,7,0.159090909090909
56784_c,14495.9170014954,-8762.21958007812,184,32,4,0.125
56784_c,14495.9170014954,-8712.21958007813,135,39,5,0.128205128205128
56784_c,14495.9170014954,-8662.21958007813,112,41,6,0.146341463414634
56784_c,14495.9170014954,-8612.21958007813,113,42,8,0.19047619047619
56784_c,14795.9170014954,-9062.21958007812,87,36,7,0.194444444444444
56784_c,14795.9170014954,-9012.21958007812,102,37,7,0.189189189189189
56784_c,14795.9170014954,-8962.21958007813,127,39,9,0.230769230769231
56784_c,14795.9170014954,-8912.21958007813,157,36,9,0.25
56784_c,14845.9170014954,-9012.21958007812,64,44,6,0.136363636363636
56784_c,14845.9170014954,-8962.21958007813,87,46,8,0.173913043478261
56784_c,14845.9170014954,-8912.21958007813,112,47,12,0.25531914893617
56784_c,14845.9170014954,-8862.21958007813,120,34,13,0.382352941176471
56784_c,14895.9170014954,-8912.21958007813,75,48,12,0.25
56784_c,14895.9170014954,-8862.21958007813,84,34,12,0.352941176470588
56784_c,15295.9170014954,-9162.21958007812,62,39,10,0.256410256410256
56784_c,15345.9170014954,-9162.21958007812,75,31,9,0.290322580645161
56784_c,15395.9170014954,-9112.21958007813,67,32,12,0.375
56784_c,15595.9170014954,-9062.21958007812,65,32,8,0.25
56784_c,15645.9170014954,-9012.21958007812,71,34,3,0.0882352941176471
56784_c,15695.9170014954,-9012.21958007812,60,48,2,0.0416666666666667
56784_c,15695.9170014954,-8962.21958007813,80,36,3,0.0833333333333333
56784_c,15695.9170014954,-8912.21958007813,115,31,7,0.225806451612903
56784_c,15745.9170014954,-8962.21958007813,63,48,3,0.0625
56784_c,15745.9170014954,-8912.21958007813,104,42,7,0.166666666666667
56784_c,15795.9170014954,-8912.21958007813,88,73,9,0.123287671232877
56784_c,15795.9170014954,-8862.21958007813,132,57,10,0.175438596491228
56784_c,15795.9170014954,-8812.21958007813,172,40,12,0.3
56784_c,15845.9170014954,-8912.21958007813,72,85,4,0.0470588235294118
56784_c,15845.9170014954,-8862.21958007813,116,65,5,0.0769230769230769
56784_c,15845.9170014954,-8812.21958007813,158,45,8,0.177777777777778
56784_c,15895.9170014954,-8912.21958007813,65,93,5,0.0537634408602151
