sample,x0,y0,n_hep,n_cd4,hep_with_cd4_contact,contact_frac,score
18321_a,3398.78463745117,-1724.14233398438,168,9,6,0.0357142857142857,6
18321_a,3398.78463745117,-1674.14233398438,185,7,6,0.0324324324324324,6
18321_a,3398.78463745117,-1624.14233398438,194,5,5,0.0257731958762887,5
18321_a,3448.78463745117,-1974.14233398438,59,8,4,0.0677966101694915,4
18321_a,3448.78463745117,-1924.14233398438,74,11,4,0.0540540540540541,4
18321_a,3448.78463745117,-1874.14233398438,90,14,5,0.0555555555555556,5
18321_a,3448.78463745117,-1824.14233398438,100,18,6,0.06,6
18321_a,3448.78463745117,-1774.14233398438,117,16,7,0.0598290598290598,7
18321_a,3448.78463745117,-1724.14233398438,130,11,6,0.0461538461538462,6
18321_a,3448.78463745117,-1674.14233398438,152,8,6,0.0394736842105263,6
18321_a,3448.78463745117,-1624.14233398438,174,5,5,0.028735632183908,5
18321_a,3498.78463745117,-1974.14233398438,32,8,4,0.125,4
18321_a,3498.78463745117,-1924.14233398438,42,12,6,0.142857142857143,6
18321_a,3498.78463745117,-1874.14233398438,55,15,8,0.145454545454545,8
18321_a,3498.78463745117,-1824.14233398438,74,19,9,0.121621621621622,9
18321_a,3498.78463745117,-1774.14233398438,97,17,10,0.103092783505155,10
18321_a,3498.78463745117,-1724.14233398438,120,13,14,0.116666666666667,14
18321_a,3498.78463745117,-1674.14233398438,146,9,11,0.0753424657534247,11
18321_a,3498.78463745117,-1624.14233398438,173,6,10,0.0578034682080925,10
18321_a,3548.78463745117,-1874.14233398438,40,15,7,0.175,7
18321_a,3548.78463745117,-1824.14233398438,61,19,7,0.114754098360656,7
18321_a,3548.78463745117,-1774.14233398438,93,17,8,0.0860215053763441,8
18321_a,3548.78463745117,-1724.14233398438,120,13,12,0.1,12
18321_a,3548.78463745117,-1674.14233398438,147,9,9,0.0612244897959184,9
18321_a,3548.78463745117,-1624.14233398438,173,6,9,0.0520231213872832,9
18321_a,3598.78463745117,-1874.14233398438,44,12,3,0.0681818181818182,3
18321_a,3598.78463745117,-1824.14233398438,73,15,3,0.0410958904109589,3
18321_a,3598.78463745117,-1774.14233398438,118,13,4,0.0338983050847458,4
18321_a,3598.78463745117,-1724.14233398438,143,10,9,0.0629370629370629,9
18321_a,3598.78463745117,-1674.14233398438,165,6,6,0.0363636363636364,6
18321_a,3648.78463745117,-1874.14233398438,54,5,3,0.0555555555555556,3
18321_a,3648.78463745117,-1824.14233398438,89,5,3,0.0337078651685393,3
18321_a,3798.78463745117,-1374.14233398438,141,7,8,0.0567375886524823,8
18321_a,3798.78463745117,-1324.14233398438,110,9,8,0.0727272727272727,8
18321_a,3798.78463745117,-1274.14233398438,80,8,3,0.0375,3
18321_a,3798.78463745117,-1224.14233398438,44,6,0,0,0
18321_a,3848.78463745117,-1374.14233398438,149,9,12,0.0805369127516778,12
18321_a,3848.78463745117,-1324.14233398438,113,14,12,0.106194690265487,12
18321_a,3848.78463745117,-1274.14233398438,81,13,7,0.0864197530864198,7
18321_a,3848.78463745117,-1224.14233398438,38,12,4,0.105263157894737,4
18321_a,3898.78463745117,-1374.14233398438,177,8,13,0.0734463276836158,13
18321_a,3898.78463745117,-1324.14233398438,135,14,13,0.0962962962962963,13
18321_a,3898.78463745117,-1274.14233398438,100,13,8,0.08,8
18321_a,3898.78463745117,-1224.14233398438,51,13,8,0.156862745098039,8
18321_a,3948.78463745117,-1374.14233398438,196,8,11,0.0561224489795918,11
18321_a,3948.78463745117,-1324.14233398438,162,14,11,0.0679012345679012,11
18321_a,3948.78463745117,-1274.14233398438,126,13,8,0.0634920634920635,8
18321_a,3948.78463745117,-1224.14233398438,76,13,8,0.105263157894737,8
18321_a,3948.78463745117,-1174.14233398438,33,12,0,0,0
18321_a,3998.78463745117,-1374.14233398438,218,6,8,0.036697247706422,8
18321_a,3998.78463745117,-1324.14233398438,190,12,8,0.0421052631578947,8
18321_a,3998.78463745117,-1274.14233398438,154,12,8,0.051948051948052,8
18321_a,3998.78463745117,-1224.14233398438,104,12,8,0.0769230769230769,8
18321_a,3998.78463745117,-1174.14233398438,59,11,0,0,0
18321_a,4048.78463745117,-1324.14233398438,198,7,8,0.0404040404040404,8
18321_a,4048.78463745117,-1274.14233398438,168,7,8,0.0476190476190476,8
18321_a,4048.78463745117,-1224.14233398438,121,7,8,0.0661157024793388,8
18321_a,4048.78463745117,-1174.14233398438,79,6,0,0,0
18321_a,5548.78463745117,-1274.14233398438,134,12,10,0.0746268656716418,10
18321_a,5548.78463745117,-1224.14233398438,145,13,11,0.0758620689655172,11
18321_a,5548.78463745117,-1174.14233398438,155,13,11,0.0709677419354839,11
18321_a,5548.78463745117,-1124.14233398438,151,13,10,0.0662251655629139,10
18321_a,5548.78463745117,-1074.14233398438,142,12,4,0.028169014084507,4
18321_a,5598.78463745117,-1274.14233398438,147,12,10,0.0680272108843538,10
18321_a,5598.78463745117,-1224.14233398438,159,13,11,0.0691823899371069,11
18321_a,5598.78463745117,-1174.14233398438,168,13,11,0.0654761904761905,11
18321_a,5598.78463745117,-1124.14233398438,167,13,10,0.0598802395209581,10
18321_a,5598.78463745117,-1074.14233398438,153,12,4,0.0261437908496732,4
18321_a,5648.78463745117,-1274.14233398438,157,12,9,0.0573248407643312,9
18321_a,5648.78463745117,-1224.14233398438,169,14,14,0.0828402366863906,14
18321_a,5648.78463745117,-1174.14233398438,177,14,17,0.096045197740113,17
18321_a,5648.78463745117,-1124.14233398438,173,14,16,0.092485549132948,16
18321_a,5648.78463745117,-1074.14233398438,158,13,11,0.069620253164557,11
18321_a,5698.78463745117,-1274.14233398438,164,11,5,0.0304878048780488,5
